,Date,Title,Label
0,2012-01-01,2012증시전망유망종목삼성電셀트리온1위,2
1,2012-01-02,시황코스닥시총상위주상승세셀트리온028↑,2
2,2012-01-03,시황코스닥시총상위주상승세셀트리온056↑,2
3,2012-01-03,2012년주목할CEO12인서정진셀트리온회장,2
4,2012-01-04,셀트리온바이오시밀러시장개척자대우,1
5,2012-01-04,셀트리온글로벌선두권제품개발단계대우證,2
6,2012-01-04,셀트리온바이오시밀러개발제품선두권대우,2
7,2012-01-04,셀트리온라트비아서임상3상시험승인,2
8,2012-01-04,셀트리온라트비아서림프종치료제임상시험승인,2
9,2012-01-04,셀트리온라트비아서림프종치료제임상승인,2
10,2012-01-04,셀트리온라트비아서임상3상시험승인,2
11,2012-01-04,셀트리온라트비아서임상3상시험승인,2
12,2012-01-04,장마감후공시셀트리온라트비아서임상3상시험승인,2
13,2012-01-04,공시셀트리온임상3상시험승인,2
14,2012-01-04,셀트리온라트비아서임상3상시험승인,2
15,2012-01-05,시황코스닥시총상위주상승세셀트리온126↑,2
16,2012-01-05,기업공시셀트리온라트비아서임상3상시험승인,2
17,2012-01-05,기업공시셀트리온라트비아서임상3상시험승인,2
18,2012-01-05,테마주점검바이오신약출시가시화기대메디포스트셀트리온줄기세포주등주목,2
19,2012-01-05,셀트리온잇딴호재발표에도주가심드렁,1
20,2012-01-05,셀트리온CTP10과맙테라유효성비교임상3상승인,2
21,2012-01-05,셀트리온스페인서임상3상시험승인,2
22,2012-01-05,셀트리온스페인서임상3상시험승인,2
23,2012-01-05,셀트리온스페인임상3상승인,2
24,2012-01-05,셀트리온스페인서림프종치료제임상3상승인,2
25,2012-01-05,셀트리온스페인서임상3상승인,2
26,2012-01-05,장마감후공시셀트리온스페인서림프종치료제임상3상승인,2
27,2012-01-05,셀트리온스페인서림프종치료제임상3상승인,2
28,2012-01-06,VIPCLUB주식상담소셀트리온,1
29,2012-01-06,VIPCLUB주식상담소셀트리온,1
30,2012-01-13,KOSDAQ100상승률셀트리온,1
31,2012-01-13,특징주셀트리온그동안너무쉬었지7대급등,2
32,2012-01-13,코스닥시황셀트리온71급등,2
33,2012-01-13,코스닥소폭상승마감대장주셀트리온강세,2
34,2012-01-13,VIPCLUB주도주매매전략종목상담셀트리온,1
35,2012-01-13,VIPCLUB주도주매매전략종목상담셀트리온,1
36,2012-01-15,1월둘째주코스닥외국인순매수1위셀트리온,2
37,2012-01-15,1월둘째주코스닥개인순매도1위셀트리온,2
38,2012-01-16,시황코스닥시총상위주하락세셀트리온027↓,0
39,2012-01-16,주간추천주불안한장세엔종목별대응LG화학셀트리온,0
40,2012-01-16,맞짱추천주셀트리온기술투자양날개박스권탈출가능,2
41,2012-01-16,맞짱추천주셀트리온기술투자양날개박스권탈출가능,2
42,2012-01-16,서정진셀트리온회장의파격배당금전액평생기부,2
43,2012-01-17,셀트리온올해영업익2507억매출4449억전망,1
44,2012-01-17,셀트리온올해영업익2507억전망,1
45,2012-01-17,셀트리온올해영업이익2507억원예상,1
46,2012-01-17,셀트리온올해영업익2507억전망,1
47,2012-01-17,셀트리온올해영업익2507억예상,1
48,2012-01-17,셀트리온올해영업익2507억전망,1
49,2012-01-17,공시셀트리온올해영업익2507억전망,1
50,2012-01-17,셀트리온올해영업이익2507억전망,1
